subject,n_seeds,best_acc_mean,best_acc_std,aver_acc_mean,aver_acc_std
1,3,0.851852,0.010608,0.768111,0.007578
3,3,0.949074,0.010608,0.891009,0.005626
5,3,0.636574,0.017476,0.554556,0.008038
8,3,0.930556,0.006945,0.870167,0.004285
9,3,0.905093,0.004009,0.852945,0.014373

overall_subject_means,3,0.854630,0.127266,0.787357,0.138266
overall_seed_means,3,0.854630,0.002122,0.787357,0.003217
